DATE,"S&P500 Index value (friday is closing, monday is open price)",change: Monday – Friday,Y = binary (0: went down or no change & 1: opened higher on Monday compared to last Friday's closing),,,,,,,$BTC
"Monday, May 30, 2022",4151.09,-7.15,0,,,,,,,
"Friday, June 3, 2022",4108.54,,,,,,,,,
"Monday, June 6, 2022",4134.72,26.18,1,,,,,,,
"Friday, June 10, 2022",3900.86,,,,,,,,,
"Monday, June 13, 2022",3838.15,-62.71,0,,,,,,,
"Friday, June 17, 2022",3674.84,,,,,,,,,
"Monday, June 20, 2022",3715.31,40.47,1,,,,,,,
"Friday, June 24, 2022",3911.74,,,,,,,,,
"Monday, June 27, 2022",3920.76,9.02,1,,,,,,,
"Friday, July 1, 2022",3825.33,,,,,,,,,
"Monday, July 4, 2022",3792.61,-32.72,0,,,,,,,
"Friday, July 8, 2022",3899.38,,,,,,,,,
"Monday, July 11, 2022",3880.94,-18.44,0,,,,,,,
"Friday, July 15, 2022",3863.16,,,,,,,,,
"Monday, July 18, 2022",3883.79,20.63,1,,,,,,,
"Friday, July 22, 2022",3961.63,,,,,,,,,
"Monday, July 25, 2022",3965.72,4.09,1,,,,,,,
"Friday, July 29, 2022",4130.29,,,,,,,,,
"Monday, August 1, 2022",4112.38,-17.91,0,,,,,,,
"Friday, August 5, 2022",4145.19,,,,,,,,,
"Monday, August 8, 2022",4155.93,10.74,1,,,,,,,
"Friday, August 12, 2022",4280.15,,,,,,,,,
"Monday, August 15, 2022",4269.37,-10.78,0,,,,,,,
"Friday, August 19, 2022",4228.48,,,,,,,,,
"Monday, August 22, 2022",4195.08,-33.4,0,,,,,,,
"Friday, August 26, 2022",4057.66,,,,,,,,,
"Monday, August 29, 2022",4034.58,-23.08,0,,,,,,,
"Friday, September 2, 2022",3924.26,,,,,,,,,
"Monday, September 5, 2022",3930.89,6.63,1,,,,,,,
"Friday, September 9, 2022",4067.36,,,,,,,,,
"Monday, September 12, 2022",4083.67,16.31,1,,,,,,,
"Friday, September 16, 2022",3873.33,,,,,,,,,
"Monday, September 19, 2022",3849.91,-23.42,0,,,,,,,
"Friday, September 23, 2022",3693.23,,,,,,,,,
"Monday, September 26, 2022",3682.72,-10.51,0,,,,,,,
"Friday, September 30, 2022",3585.62,,,,,,,,,
"Monday, October 3, 2022",3609.78,24.16,1,,,,,,,
"Friday, October 7, 2022",3639.66,,,,,,,,,
"Monday, October 10, 2022",3647.51,7.85,1,,,,,,,
"Friday, October 14, 2022",3583.07,,,,,,,,,
"Monday, October 17, 2022",3638.65,55.58,1,,,,,,,
"Friday, October 21, 2022",3752.75,,,,,,,,,
"Monday, October 24, 2022",3762.01,9.26,1,,,,,,,
"Friday, October 28, 2022",3901.06,,,,,,,,,
"Monday, October 31, 2022",3881.85,-19.21,0,,,,,,,
